product name,price
"


                                Skyline 42 inch Full HD LED Smart Android TV with Remote Control - TV-04S
                            

","
4,025.00
									EGP

4,599.00
												EGP
											

"
"


                                TCL 43 inches Smart Android LED Full HD TV with Built-in Receiver - 43S6800
                            

","
5,620.00
									EGP

5,899.00
												EGP
											

"
"


                                Toshiba Smart LED TV 43 Inch Full HD with Android System and Built-In Receiver - 43L5965EA
                            

","
6,249.00
									EGP

"
"


                                Tornado 65 Inch 4K UHD Smart Android Frameless LED TV with Remote Control and Wifi Connection - 65UA1400E
                            

","
10,868.00
									EGP

11,899.00
												EGP
											

"
"


                                Contex 40 inches Full HD Smart Android TV, Black - CON40Z10SFA1B
                            

","
3,499.00
									EGP

3,899.00
												EGP
											

"
"


                                Contex 32 inches HD Smart Android TV, Black - CON32N30SHA1B
                            

","
2,725.00
									EGP

3,299.00
												EGP
											

"
"


                                Samsung 40 inch Full HD Smart TV with Built-in Receiver - UA40T5300AUXEG
                            

","
5,751.64
									EGP

6,199.00
												EGP
											

"
"


                                Samsung 50 Inch 4K Ultra HD Smart LED TV with Built-in Receiver, Titan Grey - UA50TU7000UXEG
                            

","
8,499.00
									EGP

"
"


                                LG 43 inches UHD 4K Smart TV, Active HDR, WebOS Operating System, ThinQ AI - 43UP7550PVG
                            

","
7,374.00
									EGP

7,900.00
												EGP
											

"
"


                                LG 75 inches UHD 4K Smart TV, Active HDR, WebOS Operating System, ThinQ AI - 75UP7750PVB
                            

","
20,499.00
									EGP

"
"


                                Haier 49 inches Smart Android Full HD LED TV with Built-in Google Chromecast and Receiver - H49D6FG
                            

","
5,999.00
									EGP

6,499.00
												EGP
											

"
"


                                LG 50 inches UHD 4K Smart TV, Active HDR, WebOS Operating System, ThinQ AI - 50UP8150PVB
                            

","
8,949.00
									EGP

9,599.00
												EGP
											

"
"


                                LG 43 inches UHD 4K Smart TV, Active HDR, WebOS Operating System, ThinQ AI - 43UP7750PVB
                            

","
7,275.00
									EGP

7,599.00
												EGP
											

"
"


                                Premium 43 Inch FHD LED Smart Android TV with Built-in Receiver - PRM43PT820
                            

","
5,244.00
									EGP

5,299.00
												EGP
											

"
"


                                Toshiba 32 Inch HD Smart LED TV with Built-in Receiver, Black - 32L5995EA
                            

","
3,849.00
									EGP

3,999.00
												EGP
											

"
"


                                LG 70 Inch 4K Ultra HD Smart LED TV with Built-in Receiver, Black - 70UN7380PVC
                            

","
16,999.00
									EGP

19,999.00
												EGP
											

"
"


                                Toshiba 4K Smart Frameless D-LED 43 Inch TV with Built-In Receiver, Black - 43U5965EA
                            

","
6,695.00
									EGP

7,049.00
												EGP
											

"
"


                                Panasonic 50 Inch 4K Ultra HD Smart TV, Black - TH-50HX650E
                            

","
8,599.00
									EGP

"
"


                                Tornado 65 Inch 4K Ultra HD LED Smart TV with Built-in Receiver, Black - 65US9500E
                            

","
14,755.00
									EGP

"
"


                                Samsung 55 Inch Crystal 4K UHD Flat Smart TV with Remote Control, Black - UA55AU8100UXEG
                            

","
10,699.00
									EGP

"
"


                                Tornado 55 Inch 4K UHD Smart Android Frameless LED TV with Remote Control and Wifi Connection - 55UA1400E
                            

","
8,599.00
									EGP

"
"


                                Samsung 65 Inch 4K UHD Smart QLED TV with Built-in Receiver and Remote Control, Black - QA65Q60AAUXEG
                            

","
18,999.00
									EGP

"
"


                                Samsung 50 Inch 4K UHD Smart LED TV with Built-in Receiver and Remote Control, Black - UA50AU7000UXEG
                            

","
8,999.00
									EGP

"
"


                                Skyline 32 Inch Smart LED TV - 22S 
                            

","
2,859.00
									EGP

3,199.00
												EGP
											

"
"


                                Sary Full HD LED Smart TV, 43 Inches, Black -SA43RY-5500
                            

","
4,299.00
									EGP

4,899.00
												EGP
											

"
"


                                LG 70 inches UHD 4K Smart TV, Active HDR, WebOS Operating System, ThinQ AI - 70UP7750PVB
                            

","
18,499.00
									EGP

"
"


                                Samsung 43 Inch 4K UHD Smart LED TV with Built-in Receiver and Remote Control, Black - UA43AU7000UXEG
                            

","
7,499.00
									EGP

"
"


                                Samsung 85 Inch 4K UHD Smart LED TV with Built-in Receiver and Remote Control, Black - UA85AU8000UXEG
                            

","
39,999.00
									EGP

"
"


                                Samsung 75 Inche Neo QLED 4K Smart TV with Solar Remote, 2021 Model - QA75QN85AAUXEG
                            

","
44,999.00
									EGP

59,999.00
												EGP
											

"
"


                                Samsung 55 Inches 4K Ultra HD QLED Smart TV with Built-in Receiver, Black - QA55Q80AAUXEG
                            

","
19,999.00
									EGP

"
